timestamp,energy_kwh,power_kw,voltage,temperature,hour,day_of_week,is_weekend
2026-08-01 00:00:00,0.839,0.839,229.3,19.3,0,Saturday,1
2026-08-01 01:00:00,0.831,0.831,228.2,19.5,1,Saturday,1
2026-08-01 02:00:00,0.911,0.911,227.8,19.3,2,Saturday,1
2026-08-01 03:00:00,0.813,0.813,228.0,18.7,3,Saturday,1
2026-08-01 04:00:00,0.697,0.697,226.7,19.1,4,Saturday,1
2026-08-01 05:00:00,0.769,0.769,229.0,19.6,5,Saturday,1
2026-08-01 06:00:00,1.217,1.217,229.6,20.8,6,Saturday,1
2026-08-01 07:00:00,1.335,1.335,225.9,23.0,7,Saturday,1
2026-08-01 08:00:00,1.339,1.339,226.2,24.6,8,Saturday,1
2026-08-01 09:00:00,1.642,1.642,226.7,27.1,9,Saturday,1
2026-08-01 10:00:00,1.838,1.838,226.7,28.0,10,Saturday,1
2026-08-01 11:00:00,1.756,1.756,225.4,29.1,11,Saturday,1
2026-08-01 12:00:00,1.833,1.833,225.1,31.2,12,Saturday,1
2026-08-01 13:00:00,2.049,2.049,226.5,31.9,13,Saturday,1
2026-08-01 14:00:00,1.966,1.966,224.7,31.9,14,Saturday,1
2026-08-01 15:00:00,1.953,1.953,227.8,31.2,15,Saturday,1
2026-08-01 16:00:00,1.849,1.849,227.1,31.3,16,Saturday,1
2026-08-01 17:00:00,2.776,2.776,225.7,29.6,17,Saturday,1
2026-08-01 18:00:00,2.905,2.905,223.8,29.3,18,Saturday,1
2026-08-01 19:00:00,2.857,2.857,226.0,26.6,19,Saturday,1
2026-08-01 20:00:00,2.815,2.815,223.6,24.6,20,Saturday,1
2026-08-01 21:00:00,2.895,2.895,226.4,22.2,21,Saturday,1
2026-08-01 22:00:00,1.35,1.35,228.0,21.4,22,Saturday,1
2026-08-01 23:00:00,1.299,1.299,229.5,19.5,23,Saturday,1
2026-08-02 00:00:00,0.975,0.975,225.1,18.9,0,Sunday,1
2026-08-02 01:00:00,0.857,0.857,228.1,18.9,1,Sunday,1
2026-08-02 02:00:00,0.691,0.691,228.5,18.1,2,Sunday,1
2026-08-02 03:00:00,0.968,0.968,227.6,18.5,3,Sunday,1
2026-08-02 04:00:00,0.81,0.81,229.6,18.3,4,Sunday,1
2026-08-02 05:00:00,0.808,0.808,229.2,20.3,5,Sunday,1
2026-08-02 06:00:00,1.407,1.407,226.6,21.6,6,Sunday,1
2026-08-02 07:00:00,1.299,1.299,225.9,22.9,7,Sunday,1
2026-08-02 08:00:00,1.351,1.351,227.6,25.2,8,Sunday,1
2026-08-02 09:00:00,1.577,1.577,226.7,26.6,9,Sunday,1
2026-08-02 10:00:00,1.626,1.626,226.9,28.2,10,Sunday,1
2026-08-02 11:00:00,2.141,2.141,226.4,30.3,11,Sunday,1
2026-08-02 12:00:00,1.984,1.984,224.1,31.3,12,Sunday,1
2026-08-02 13:00:00,1.995,1.995,229.4,31.7,13,Sunday,1
2026-08-02 14:00:00,2.014,2.014,226.3,31.8,14,Sunday,1
2026-08-02 15:00:00,2.081,2.081,227.2,30.8,15,Sunday,1
2026-08-02 16:00:00,1.917,1.917,228.2,31.7,16,Sunday,1
2026-08-02 17:00:00,2.877,2.877,227.5,28.8,17,Sunday,1
2026-08-02 18:00:00,2.785,2.785,225.1,27.7,18,Sunday,1
2026-08-02 19:00:00,2.706,2.706,225.2,26.4,19,Sunday,1
2026-08-02 20:00:00,2.868,2.868,223.7,24.2,20,Sunday,1
2026-08-02 21:00:00,2.767,2.767,224.6,24.4,21,Sunday,1
2026-08-02 22:00:00,1.172,1.172,228.2,22.2,22,Sunday,1
2026-08-02 23:00:00,1.141,1.141,228.2,21.1,23,Sunday,1
2026-08-03 00:00:00,0.793,0.793,227.1,19.1,0,Monday,0
2026-08-03 01:00:00,0.772,0.772,229.0,17.2,1,Monday,0
2026-08-03 02:00:00,0.758,0.758,227.8,18.2,2,Monday,0
2026-08-03 03:00:00,0.753,0.753,227.8,18.4,3,Monday,0
2026-08-03 04:00:00,0.768,0.768,227.2,20.4,4,Monday,0
2026-08-03 05:00:00,0.652,0.652,229.8,20.6,5,Monday,0
2026-08-03 06:00:00,1.744,1.744,228.0,22.4,6,Monday,0
2026-08-03 07:00:00,1.876,1.876,228.9,23.5,7,Monday,0
2026-08-03 08:00:00,1.75,1.75,225.8,24.8,8,Monday,0
2026-08-03 09:00:00,0.904,0.904,228.8,26.2,9,Monday,0
2026-08-03 10:00:00,0.976,0.976,228.3,28.7,10,Monday,0
2026-08-03 11:00:00,1.069,1.069,231.3,31.1,11,Monday,0
2026-08-03 12:00:00,1.021,1.021,226.9,31.6,12,Monday,0
2026-08-03 13:00:00,1.072,1.072,228.9,32.1,13,Monday,0
2026-08-03 14:00:00,1.084,1.084,227.0,32.4,14,Monday,0
2026-08-03 15:00:00,1.054,1.054,229.1,30.5,15,Monday,0
2026-08-03 16:00:00,0.99,0.99,228.4,31.2,16,Monday,0
2026-08-03 17:00:00,2.579,2.579,225.5,30.3,17,Monday,0
2026-08-03 18:00:00,2.559,2.559,225.8,28.5,18,Monday,0
2026-08-03 19:00:00,2.737,2.737,226.3,27.3,19,Monday,0
2026-08-03 20:00:00,2.575,2.575,226.0,23.9,20,Monday,0
2026-08-03 21:00:00,2.691,2.691,229.8,23.6,21,Monday,0
2026-08-03 22:00:00,1.361,1.361,228.7,22.0,22,Monday,0
2026-08-03 23:00:00,1.245,1.245,228.7,20.6,23,Monday,0
2026-08-04 00:00:00,0.711,0.711,228.1,18.3,0,Tuesday,0
2026-08-04 01:00:00,0.915,0.915,226.1,18.3,1,Tuesday,0
2026-08-04 02:00:00,0.601,0.601,228.4,18.5,2,Tuesday,0
2026-08-04 03:00:00,0.735,0.735,227.4,19.1,3,Tuesday,0
2026-08-04 04:00:00,0.784,0.784,227.7,18.4,4,Tuesday,0
2026-08-04 05:00:00,0.734,0.734,227.9,20.2,5,Tuesday,0
2026-08-04 06:00:00,1.861,1.861,224.2,23.2,6,Tuesday,0
2026-08-04 07:00:00,1.757,1.757,227.9,23.3,7,Tuesday,0
2026-08-04 08:00:00,1.801,1.801,227.4,24.4,8,Tuesday,0
2026-08-04 09:00:00,0.814,0.814,228.1,27.5,9,Tuesday,0
2026-08-04 10:00:00,0.858,0.858,230.6,28.1,10,Tuesday,0
2026-08-04 11:00:00,0.989,0.989,229.3,30.3,11,Tuesday,0
2026-08-04 12:00:00,1.173,1.173,226.1,32.8,12,Tuesday,0
2026-08-04 13:00:00,1.191,1.191,227.0,31.4,13,Tuesday,0
2026-08-04 14:00:00,1.152,1.152,226.8,32.4,14,Tuesday,0
2026-08-04 15:00:00,0.831,0.831,227.3,31.7,15,Tuesday,0
2026-08-04 16:00:00,0.99,0.99,230.2,30.9,16,Tuesday,0
2026-08-04 17:00:00,2.615,2.615,225.5,28.8,17,Tuesday,0
2026-08-04 18:00:00,2.535,2.535,226.8,29.7,18,Tuesday,0
2026-08-04 19:00:00,2.571,2.571,225.9,26.8,19,Tuesday,0
2026-08-04 20:00:00,2.602,2.602,225.4,25.2,20,Tuesday,0
2026-08-04 21:00:00,2.659,2.659,226.0,22.9,21,Tuesday,0
2026-08-04 22:00:00,1.171,1.171,230.5,22.8,22,Tuesday,0
